angle_deg,parameter,estimate,column_norm_raw,relative_scale,relative_sensitivity
10.0,thickness_um,3.24799741694278,14.213557599652773,3.24799741694278,0.716801813020148
10.0,substrate_index,3.554204805828331,4.921376732712935,3.554204805828331,0.2715874438498695
10.0,log10_carrier_cm3,18.239836987269733,0.742426233446496,1.0,0.011527468265693666
10.0,log10_collision_s-1,11.000000000000002,0.00024008059981184583,1.0,3.727672017585298e-06
10.0,epsilon_inf,11.68,2.50812396766679,11.68,0.45485447023445663
10.0,A1,0.29972,0.6311571274981428,0.29972,0.0029372021742754034
10.0,lambda1_um,10.6683,0.04826126804599471,10.6683,0.007994191998979137
10.0,Gamma1_um,0.092613,0.01669109637583872,0.092613,2.4001448003148142e-05
10.0,A2,11.34965,0.2292166693676708,11.34965,0.04039329607455313
10.0,lambda2_um,16.2026,0.36013390746839297,16.2026,0.09060024035689436
10.0,Gamma2_um,0.23572,0.07237171059599046,0.23572,0.0002648780047897504
15.0,thickness_um,3.1875197995087388,18.42023228073067,3.1875197995087388,0.911651014568254
15.0,substrate_index,3.65092518097248,4.746140868687057,3.65092518097248,0.26904454028295033
15.0,log10_carrier_cm3,12.000000000000002,1.8329411541319423e-07,1.0,2.8459623374370686e-09
15.0,log10_collision_s-1,14.999999999999998,1.7044377343990853e-07,1.0,2.6464382599907433e-09
15.0,epsilon_inf,11.68,2.9333251431308875,11.68,0.5319657525721907
15.0,A1,0.29972,0.6937597769419497,0.29972,0.0032285347601730295
15.0,lambda1_um,10.6683,0.05265990402320783,10.6683,0.008722799885990055
15.0,Gamma1_um,0.092613,0.018097577020699668,0.092613,2.6023937796804193e-05
15.0,A2,11.34965,0.2534142144868994,11.34965,0.04465746502428411
15.0,lambda2_um,16.2026,0.39681306129152655,16.2026,0.09982775291138815
15.0,Gamma2_um,0.23572,0.07904845977095508,0.23572,0.00028931468018932624
