wavenumber_cm1,reflectance_observed,reflectance_airy,reflectance_double_same_params,residual_signed,residual_abs,eta3_percent,angle_deg
1500.347,0.4250129754,0.3092535454602712,0.3100710635885468,0.1157594299397288,0.1157594299397288,0.0038824475711443,15.0
1500.829,0.4251059151999999,0.3095652416292324,0.3104296053247439,0.1155406735707675,0.1155406735707675,0.0038733687527501,15.0
1501.311,0.4254803372,0.3098735869307892,0.3107845204565782,0.1156067502692107,0.1156067502692107,0.0038643193609745,15.0
1501.793,0.4257769871,0.31017857745595,0.3111357956774422,0.11559840964405,0.11559840964405,0.0038552992771358,15.0
1502.276,0.4259099934,0.3104808317368956,0.3114841353209124,0.1154291616631043,0.1154291616631043,0.0038462897600753,15.0
1502.758,0.4262280886,0.310779094571552,0.3118280841352716,0.115448994028448,0.115448994028448,0.0038373279985331,15.0
1503.24,0.4262116837,0.3110739917451968,0.3121683545241721,0.1151376919548031,0.1151376919548031,0.0038283951920435,15.0
1503.722,0.4265244211,0.3113655199112696,0.3125049341362091,0.1151589011887304,0.1151589011887304,0.0038194912241843,15.0
1504.204,0.426616865,0.3116536758606625,0.312837810859047,0.1149631891393374,0.1149631891393374,0.0038106159790903,15.0
1504.686,0.4270317617,0.311938456520518,0.3131669728195491,0.115093305179482,0.115093305179482,0.0038017693414498,15.0
1505.168,0.4272174609,0.3122198589530365,0.3134924083838968,0.1149976019469634,0.1149976019469634,0.0037929511965017,15.0
1505.65,0.4272676204,0.3124978803543006,0.3138141061576904,0.1147697400456994,0.1147697400456994,0.0037841614300327,15.0
1506.133,0.4276338535,0.3127730843217373,0.3141327107262829,0.1148607691782626,0.1148607691782626,0.0037753817802873,15.0
1506.615,0.4279904833,0.3130443287505213,0.314446891882166,0.1149461545494786,0.1149461545494786,0.0037666484886006,15.0
1507.097,0.4277727387,0.3133121845231709,0.3147573024797524,0.1144605541768291,0.1144605541768291,0.0037579432357755,15.0
1507.579,0.4281162662,0.3135766493600783,0.3150639320835891,0.1145396168399216,0.1145396168399216,0.0037492659097601,15.0
1508.061,0.4279905222,0.3138377211098415,0.3153667704979615,0.1141528010901585,0.1141528010901585,0.0037406163990353,15.0
1508.543,0.4280461909,0.3140953977481731,0.3156658077669173,0.1139507931518269,0.1139507931518269,0.0037319945926117,15.0
1509.025,0.428279741,0.3143496773768223,0.3159610341742787,0.1139300636231777,0.1139300636231777,0.0037234003800268,15.0
1509.507,0.4283010362,0.3146005582225082,0.3162524402436383,0.1137004779774918,0.1137004779774918,0.0037148336513419,15.0
1509.99,0.4283196439,0.3148485485448956,0.3165406093829653,0.1134710953551044,0.1134710953551044,0.003706276609017,15.0
1510.471,0.4285722891,0.3150921170904412,0.3168237546614804,0.1134801720095588,0.1134801720095588,0.0036977822085202,15.0
1510.954,0.4286317958,0.3153332879688226,0.3171042219364519,0.1132985078311773,0.1132985078311773,0.0036892797016629,15.0
1511.436,0.4288221945,0.3155705513479873,0.3173802486760008,0.1132516431520127,0.1132516431520127,0.0036808218755777,15.0
1511.918,0.4287435621,0.3158044089138025,0.3176524112741819,0.1129391531861974,0.1129391531861974,0.0036723909912366,15.0
1512.4,0.4289815233,0.3160348596214998,0.317920701692946,0.1129466636785002,0.1129466636785002,0.0036639869417856,15.0
1512.882,0.4290665378,0.3162619025442221,0.3181851121336377,0.1128046352557778,0.1128046352557778,0.0036556096208754,15.0
1513.364,0.4291055065999999,0.3164855368720742,0.3184456350368915,0.1126199697279257,0.1126199697279257,0.0036472589226578,15.0
1513.846,0.4291426807,0.3167057619111842,0.3187022630825138,0.1124369187888157,0.1124369187888157,0.0036389347417836,15.0
