angle_deg,parameter,estimate,column_norm_raw,relative_scale,relative_sensitivity
10.0,thickness_um,3.247997417105262,14.213557593481044,3.247997417105262,0.7168018127447626
10.0,substrate_index,3.5542048055287023,4.921376733158464,3.5542048055287023,0.2715874438515602
10.0,log10_carrier_cm3,18.239836992390195,0.7424262422972683,1.0,0.0115274684031174
10.0,log10_collision_s-1,11.000000000000002,0.000240080603071,1.0,3.727672068190888e-06
10.0,epsilon_inf,11.68,2.508123967424788,11.68,0.4548544701905696
10.0,A1,0.29972,0.6311571276426873,0.29972,0.002937202174948
10.0,lambda1_um,10.6683,0.0482612680610314,10.6683,0.0079941920014698
10.0,Gamma1_um,0.092613,0.0166910963850016,0.092613,2.4001448016324115e-05
10.0,A2,11.34965,0.2292166694068423,11.34965,0.0403932960814563
10.0,lambda2_um,16.2026,0.3601339075397445,16.2026,0.0906002403748445
10.0,Gamma2_um,0.23572,0.0723717106354201,0.23572,0.000264878004934
15.0,thickness_um,3.187519666375829,18.420232240472437,3.187519666375829,0.9116509744989392
15.0,substrate_index,3.650925165000168,4.7461407663646655,3.650925165000168,0.2690445333055647
15.0,log10_carrier_cm3,12.000000000000002,1.8329403910912898e-07,1.0,2.845961152682744e-09
15.0,log10_collision_s-1,14.999999999999998,1.704432713862769e-07,1.0,2.646430464728337e-09
15.0,epsilon_inf,11.68,2.933325022023914,11.68,0.5319657306091442
15.0,A1,0.29972,0.6937597305130035,0.29972,0.0032285345441076
15.0,lambda1_um,10.6683,0.0526599011601308,10.6683,0.0087227994117384
15.0,Gamma1_um,0.092613,0.0180975775716314,0.092613,2.6023938589032543e-05
15.0,A2,11.34965,0.253414196731117,11.34965,0.0446574618953032
15.0,lambda2_um,16.2026,0.3968130344170016,16.2026,0.0998277461504624
15.0,Gamma2_um,0.23572,0.0790484610445877,0.23572,0.0002893146848507
