angle_deg,bin_left_cm1,bin_right_cm1,bin_center_cm1,residual_mean,sample_count
10.0,1500.0,1550.0,1525.0,0.0770756476616782,103
10.0,1550.0,1600.0,1575.0,0.050881517120335104,104
10.0,1600.0,1650.0,1625.0,0.022114842291099022,104
10.0,1650.0,1700.0,1675.0,-0.0007781634111268738,104
10.0,1700.0,1750.0,1725.0,-0.006906125234512851,103
10.0,1750.0,1800.0,1775.0,0.0022857589708838422,104
10.0,1800.0,1850.0,1825.0,0.013564820228428932,104
10.0,1850.0,1900.0,1875.0,0.018270002021876255,103
10.0,1900.0,1950.0,1925.0,0.01712549442178032,104
10.0,1950.0,2000.0,1975.0,0.012911189754774989,104
10.0,2000.0,2050.0,2025.0,0.007983960937457815,104
10.0,2050.0,2100.0,2075.0,0.004328890741115251,103
10.0,2100.0,2150.0,2125.0,0.0026605950053790834,104
10.0,2150.0,2200.0,2175.0,0.001902337334920726,104
10.0,2200.0,2250.0,2225.0,-1.9128076665630865e-05,103
10.0,2250.0,2300.0,2275.0,-0.0036338959937260024,104
10.0,2300.0,2350.0,2325.0,-0.008705614634331109,104
10.0,2350.0,2400.0,2375.0,-0.010345767860404571,104
10.0,2400.0,2450.0,2425.0,-0.007249102194860867,103
10.0,2450.0,2500.0,2475.0,-0.0027247569936179835,104
10.0,2500.0,2550.0,2525.0,0.0028128017617190994,104
10.0,2550.0,2600.0,2575.0,0.00543558553465195,103
10.0,2600.0,2650.0,2625.0,0.002441889459408452,104
10.0,2650.0,2700.0,2675.0,-0.005189120110964758,104
10.0,2700.0,2750.0,2725.0,-0.013846241176322893,104
10.0,2750.0,2800.0,2775.0,-0.019483838479074488,103
10.0,2800.0,2850.0,2825.0,-0.019694678543149824,104
10.0,2850.0,2900.0,2875.0,-0.014025264792828644,104
10.0,2900.0,2950.0,2925.0,-0.004685843180879718,103
10.0,2950.0,3000.0,2975.0,0.003595913552768112,104
10.0,3000.0,3050.0,3025.0,0.005771711409090419,104
10.0,3050.0,3100.0,3075.0,0.00027000560061695236,103
10.0,3100.0,3150.0,3125.0,-0.010185976995887934,104
10.0,3150.0,3200.0,3175.0,-0.020380003713540682,104
10.0,3200.0,3250.0,3225.0,-0.025787983684465,104
10.0,3250.0,3300.0,3275.0,-0.023943194075793955,103
10.0,3300.0,3350.0,3325.0,-0.015517361055271645,104
10.0,3350.0,3400.0,3375.0,-0.004214131095654508,104
10.0,3400.0,3450.0,3425.0,0.004333551784405384,103
10.0,3450.0,3500.0,3475.0,0.005175365655703126,104
15.0,1500.0,1550.0,1525.0,0.10829303315302567,103
15.0,1550.0,1600.0,1575.0,0.08421897976171204,104
15.0,1600.0,1650.0,1625.0,0.05426623998540033,104
15.0,1650.0,1700.0,1675.0,0.026646960831969022,104
15.0,1700.0,1750.0,1725.0,0.014734402554091605,103
15.0,1750.0,1800.0,1775.0,0.021324231701858817,104
15.0,1800.0,1850.0,1825.0,0.03416547453326459,104
15.0,1850.0,1900.0,1875.0,0.040875079170282075,103
15.0,1900.0,1950.0,1925.0,0.039680438919045685,104
15.0,1950.0,2000.0,1975.0,0.034015692829383576,104
15.0,2000.0,2050.0,2025.0,0.027504790523371445,104
15.0,2050.0,2100.0,2075.0,0.024261397489441703,103
15.0,2100.0,2150.0,2125.0,0.02600113712400394,104
15.0,2150.0,2200.0,2175.0,0.029975481566696514,104
15.0,2200.0,2250.0,2225.0,0.030998164313511763,103
15.0,2250.0,2300.0,2275.0,0.025495710320824212,104
15.0,2300.0,2350.0,2325.0,0.013438389495329635,104
15.0,2350.0,2400.0,2375.0,0.007053325170544241,104
15.0,2400.0,2450.0,2425.0,0.00643789219203846,103
15.0,2450.0,2500.0,2475.0,0.009435740621029289,104
15.0,2500.0,2550.0,2525.0,0.01912647448075638,104
15.0,2550.0,2600.0,2575.0,0.030955299532811068,103
15.0,2600.0,2650.0,2625.0,0.037180349673547206,104
15.0,2650.0,2700.0,2675.0,0.03337189430922925,104
15.0,2700.0,2750.0,2725.0,0.02104925849201605,104
15.0,2750.0,2800.0,2775.0,0.00683812278406578,103
15.0,2800.0,2850.0,2825.0,-0.003134052157140494,104
15.0,2850.0,2900.0,2875.0,-0.004641995291964385,104
15.0,2900.0,2950.0,2925.0,0.003852438169850862,103
15.0,2950.0,3000.0,2975.0,0.019207584853060365,104
15.0,3000.0,3050.0,3025.0,0.03437336975589234,104
15.0,3050.0,3100.0,3075.0,0.04045331342943258,103
15.0,3100.0,3150.0,3125.0,0.03377201898549795,104
15.0,3150.0,3200.0,3175.0,0.018411353088250735,104
15.0,3200.0,3250.0,3225.0,0.0017584603098007871,104
15.0,3250.0,3300.0,3275.0,-0.008480650590959916,103
15.0,3300.0,3350.0,3325.0,-0.008337835518843583,104
15.0,3350.0,3400.0,3375.0,0.0028292218178961282,104
15.0,3400.0,3450.0,3425.0,0.02060361780702594,103
15.0,3450.0,3500.0,3475.0,0.036801101199645164,104
