wavenumber_cm1,reflectance_observed,reflectance_airy,reflectance_double_same_params,residual_signed,residual_abs,eta3_percent,angle_deg
1500.347,0.3920588871,0.3035040517845346,0.3047547387988156,0.0885548353154653,0.0885548353154653,0.0030087735499799,10.0
1500.829,0.391869392,0.303765534149277,0.3050543266652549,0.088103857850723,0.088103857850723,0.0030003500186037,10.0
1501.311,0.3917747453,0.3040235129399413,0.3053500228809579,0.0877512323600586,0.0877512323600586,0.0029919567339215,10.0
1501.793,0.3918415553,0.3042779865252454,0.3056418181949937,0.0875635687747545,0.0875635687747545,0.0029835935649347,10.0
1502.276,0.3916938948,0.3045294704502649,0.3059302968245664,0.087164424349735,0.087164424349735,0.0029752431236243,10.0
1502.758,0.391700591,0.3047769220276474,0.3062142555070429,0.0869236689723526,0.0869236689723526,0.0029669398574866,10.0
1503.24,0.3916080769,0.3050208643645203,0.3064942871123951,0.0865872125354796,0.0865872125354796,0.0029586663177429,10.0
1503.722,0.3914858299,0.3052612963999597,0.3067703834527372,0.0862245335000402,0.0862245335000402,0.0029504223760244,10.0
1504.204,0.3915002911,0.305498217212625,0.3070425366053423,0.0860020738873749,0.0860020738873749,0.0029422079046097,10.0
1504.686,0.3914835867,0.3057316260196183,0.3073107389124238,0.0857519606803817,0.0857519606803817,0.0029340227764215,10.0
1505.168,0.3915595262,0.3059615221753597,0.3075749829809042,0.0855980040246402,0.0855980040246402,0.0029258668650225,10.0
1505.65,0.3918849317,0.3061879051704806,0.3078352616821697,0.0856970265295193,0.0856970265295193,0.0029177400446119,10.0
1506.133,0.3916365401,0.3064112333630049,0.3080920957742223,0.0852253067369951,0.0852253067369951,0.0029096254195171,10.0
1506.615,0.3923063897,0.3066305817580253,0.3083444151502275,0.0856758079419747,0.0856758079419747,0.0029015564659166,10.0
1507.097,0.3925653979,0.3068464162706502,0.3085927493443894,0.0857189816293497,0.0857189816293497,0.0028935162294282,10.0
1507.579,0.3931000585999999,0.3070587369258601,0.3088370922837286,0.0860413216741398,0.0860413216741398,0.002885504586762,10.0
