wavenumber_cm-1,observed_reflectance_fraction,fitted_reflectance_fraction,residual_fraction
2500.257,0.1793117304,0.17936960617621933,-5.787577621932383e-05
2500.739,0.17930610900000002,0.17939375940027616,-8.765040027614024e-05
2501.221,0.17937358490000002,0.1794188268196385,-4.52419196384779e-05
2501.703,0.1794256284,0.1794448040816297,-1.917568162967953e-05
2502.186,0.1793893048,0.17947174341321537,-8.243861321535761e-05
2502.668,0.17947206520000003,0.1794995286416889,-2.7463441688857504e-05
2503.15,0.17948598140000002,0.1795282098599969,-4.2228459996879186e-05
2503.632,0.1794829503,0.1795577821949019,-7.483189490190001e-05
2504.114,0.1795356744,0.17958824064531434,-5.25662453143283e-05
2504.596,0.17962986099999997,0.1796195800832156,1.028091678437204e-05
2505.078,0.1796715025,0.17965179525460043,1.9707245399569473e-05
2505.56,0.1797085,0.1796848807804355,2.361921956448021e-05
2506.042,0.1796663717,0.1797188311576367,-5.2459457636711004e-05
2506.525,0.17980469070000002,0.17975371386834976,5.097683165025679e-05
2507.007,0.1797449992,0.17978937871245337,-4.4379512453368575e-05
2507.489,0.1798892632,0.17982589115208847,6.337204791154183e-05
2507.971,0.1800197928,0.17986324519782979,0.00015654760217020947
2508.453,0.1800817346,0.17990143474134312,0.0001802998586568627
2508.935,0.18015170900000002,0.179940453556463,0.00021125544353703396
2509.417,0.1804380973,0.17998029530028692,0.00045780199971307
2509.899,0.1804800529,0.1800209535142857,0.00045909938571428444
2510.382,0.1805310263,0.18006250849612074,0.00046851780387927033
2510.864,0.1805933629,0.18010478147740272,0.0004885814225972784
2511.346,0.1807229978,0.1801478508566277,0.0005751469433722955
2511.828,0.1807051177,0.18019170972394433,0.0005134079760556742
2512.31,0.1808763796,0.180236351059663,0.0006400285403369843
2512.792,0.18088935500000003,0.1802817677354554,0.000607587264544629
2513.274,0.1807858537,0.1803279525155735,0.0004579011844265124
2513.756,0.1808645555,0.1803748980580798,0.0004896574419201993
