wavenumber_cm-1,observed_reflectance_fraction,fitted_reflectance_fraction,residual_fraction
2500.257,0.17503157430000002,0.17352955037047285,0.0015020239295271687
2500.739,0.1748372872,0.17359553535015734,0.0012417518498426539
2501.221,0.17527809290000002,0.17366208281536727,0.0016160100846327463
2501.703,0.17536324059999997,0.17372918239949076,0.0016340582005092141
2502.186,0.175312573,0.17379696455492488,0.0015156084450751173
2502.668,0.1753564231,0.17386513808434,0.0014912850156599822
2503.15,0.17551861729999998,0.17393383218947206,0.0015847851105279254
2503.632,0.17549083440000002,0.17400303622838553,0.001487798171614485
2504.114,0.1757866801,0.17407273949465604,0.0017139406053439665
2504.596,0.17562272190000003,0.17414293121910657,0.0014797906808934613
2505.078,0.1758051218,0.1742136005715521,0.0015915212284478841
2505.56,0.17576346950000002,0.17428473666255073,0.001478732837449287
2506.042,0.1757280929,0.17435632854516114,0.0013717643548388503
2506.525,0.1758073048,0.17442851512507856,0.0013787896749214434
2507.007,0.1761135305,0.1745009864172498,0.0016125440827502169
2507.489,0.1761963844,0.17457388030978593,0.0016225040902140553
2507.971,0.17627142769999998,0.1746471856433481,0.0016242420566518756
2508.453,0.17607381279999998,0.1747208912099803,0.001352921590019679
2508.935,0.176343599,0.1747949857549022,0.0015486132450977796
2509.417,0.1763386391,0.1748694579783051,0.0014691811216948902
2509.899,0.17656609880000002,0.1749442965371535,0.0016218022628465278
2510.382,0.1765770281,0.17501964641117365,0.0015573816888263536
2510.864,0.1766300807,0.17509518414873515,0.0015348965512648471
2511.346,0.1767428483,0.17517105392752286,0.0015717943724771477
2511.828,0.1767587199,0.17524724424960653,0.0015114756503934734
2512.31,0.17682217130000003,0.1753237435828935,0.0014984277171065374
2512.792,0.1769064109,0.17540054036294905,0.0015058705370509518
2513.274,0.1768261764,0.1754776229948217,0.00134855340517831
2513.756,0.1771680518,0.1755549798548678,0.0016130719451322162
2514.239,0.17712584929999997,0.1756327605936111,0.0014930887063888676
2514.721,0.1772953196,0.17571063144183802,0.0015846881581619843
2515.203,0.1773429207,0.17578874146914902,0.001554179230850966
2515.685,0.17727741930000002,0.17586707895538328,0.001410340344616734
2516.167,0.17747114719999998,0.17594563216084408,0.0015255150391559058
2516.649,0.1773054389,0.17602438932813125,0.0012810495718687531
2517.131,0.1774113191,0.1761033386839731,0.0013079804160268937
2517.613,0.1775644597,0.17618246844106183,0.0013819912589381755
2518.095,0.1779723807,0.17626176679988304,0.001710613900116953
2518.578,0.1779329362,0.176341386950047,0.0015915492499530004
2519.06,0.17795842830000003,0.17642098736261108,0.0015374409373889453
2519.542,0.1779442167,0.17650072089890528,0.0014434958010947074
2520.024,0.1781415488,0.17658057572889108,0.0015609730711089176
2520.506,0.17810862570000002,0.17666054001947407,0.0014480856805259568
2520.988,0.1782074622,0.17674060193632796,0.001466860263672043
2521.47,0.178108539,0.17682074964571665,0.001287789354283364
2521.952,0.1784055219,0.17690097131631186,0.0015045505836881468
2522.435,0.17857687949999998,0.17698142174130735,0.001595457758692631
2522.917,0.17849601710000002,0.17706175595114562,0.0014342611488543933
2523.399,0.17850698380000002,0.17714212863630396,0.0013648551636960549
2523.881,0.178525033,0.17722252799323865,0.0013025050067613508
2524.363,0.17876758250000002,0.17730294222986343,0.0014646402701365968
2524.845,0.17867086919999997,0.17738335956734752,0.0012875096326524504
2525.327,0.1786845373,0.17746376824190818,0.0012207690580918196
2525.809,0.1788401731,0.17754415650659844,0.001296016593401561
2526.292,0.1788562951,0.17762467930551223,0.0012316157944877726
2526.773,0.1789672398,0.17770482491345133,0.001262414886548685
2527.256,0.1790050093,0.1777852481038758,0.001219761196124186
