d_um,profile_rmse_fraction
7.034039253,0.003266751501
7.04570592,0.003266704519
7.057372587,0.003266650865
7.069039253,0.003266590889
7.08070592,0.003266525094
7.092372587,0.003266452144
7.104039253,0.003266375212
7.11570592,0.003266293774
7.127372587,0.003266208516
7.139039253,0.003266119991
7.15070592,0.003266029111
7.162372587,0.003258964277
7.174039253,0.003232788524
7.18570592,0.003186770849
7.197372587,0.00312065185
7.209039253,0.003034463691
7.22070592,0.00292855073
7.232372587,0.002803615353
7.244039253,0.002660793807
7.25570592,0.00250176705
7.267372587,0.002328916348
7.279039253,0.002145543944
7.29070592,0.001956195383
7.302372587,0.00176713598
7.314039253,0.001587019461
7.32570592,0.001427639831
7.337372587,0.001304144478
7.349039253,0.001233114854
7.36070592,0.001209571042
7.372372587,0.001196495448
7.384039253,0.001192316932
7.39570592,0.001196653064
7.407372587,0.001208749694
7.419039253,0.001227520869
7.43070592,0.001251647946
7.442372587,0.001279667384
7.454039253,0.001310043044
7.46570592,0.001341218508
7.477372587,0.001371655356
7.489039253,0.00140936706
7.50070592,0.001495259682
7.512372587,0.001624188739
7.524039253,0.001782843732
7.53570592,0.001958925584
7.547372587,0.002142308287
7.559039253,0.00232500568
7.57070592,0.002500772149
7.582372587,0.002664712985
7.594039253,0.002813004226
7.60570592,0.002942719066
7.617372587,0.003051732552
7.629039253,0.003138674303
7.64070592,0.003202901086
7.652372587,0.00324446427
7.664039253,0.003264054337
7.67570592,0.003266044337
7.687372587,0.003266093107
7.699039253,0.003266139956
7.71070592,0.003266184735
7.722372587,0.003266226951
7.734039253,0.003266266235
