angle_deg,rank_by_rmse,basin_id,support_count_stage1,thickness_um,log10N,substrate_index,rmse,mae,r2,success,nfev,boundary_hit_count,boundary_hits
10.0,1,2,27,7.856635820892201,14.000011224824142,2.5039680222793907,0.0005982024535534,0.0004835558606175,0.9551268358905144,True,542,6,log10_carrier_cm3:lower;sellmeier_A:upper;sellmeier_B1:upper;sellmeier_B3:lower;sellmeier_C2_um2:lower;sellmeier_C3_um2:upper
10.0,2,1,13,7.131793895597144,17.4885217231163,2.5026216445255707,0.0008333862972842,0.0007028791843196,0.9129070453013548,True,69,6,sellmeier_A:upper;sellmeier_B1:upper;sellmeier_B3:upper;sellmeier_C1_um2:upper;sellmeier_C2_um2:lower;sellmeier_C3_um2:lower
10.0,3,3,7,7.494952048505562,14.000000000000002,2.451281947313928,0.0014428534604155,0.001134849822079,0.7389433476885314,True,21,7,log10_carrier_cm3:lower;sellmeier_A:upper;sellmeier_B1:upper;sellmeier_B3:lower;sellmeier_C1_um2:lower;sellmeier_C2_um2:lower;sellmeier_C3_um2:upper
10.0,4,5,8,8.172872617337639,14.000000010677208,2.4537274012185177,0.0017791801954682,0.001397054714382,0.6030551377717552,True,79,6,log10_carrier_cm3:lower;sellmeier_A:upper;sellmeier_B1:upper;sellmeier_B3:lower;sellmeier_C2_um2:lower;sellmeier_C3_um2:upper
10.0,5,4,9,6.813385574252154,14.000000000000002,2.457440245120237,0.0020176295204744,0.0015833074766818,0.4895265479492888,True,25,7,log10_carrier_cm3:lower;sellmeier_A:upper;sellmeier_B1:upper;sellmeier_B3:lower;sellmeier_C1_um2:lower;sellmeier_C2_um2:lower;sellmeier_C3_um2:upper
10.0,6,7,15,8.499999999999998,14.000000000002998,2.501513045604573,0.0023428696138985,0.0018672266664743,0.3116860787448038,True,33,7,thickness_um:upper;log10_carrier_cm3:lower;sellmeier_A:upper;sellmeier_B1:upper;sellmeier_B3:lower;sellmeier_C2_um2:lower;sellmeier_C3_um2:upper
10.0,7,6,2,6.500000000000001,14.000000000000002,2.489762311420434,0.0025972705925964,0.0020583899688841,0.1540889262288041,True,27,8,thickness_um:lower;log10_carrier_cm3:lower;sellmeier_B1:upper;sellmeier_B2:lower;sellmeier_B3:lower;sellmeier_C1_um2:lower;sellmeier_C2_um2:lower;sellmeier_C3_um2:upper
10.0,8,8,9,7.23808974507857,20.01444368993701,2.7441150245331065,0.0831406027614508,0.0664737598297316,-865.795506604898,True,71,7,sellmeier_A:lower;sellmeier_B1:lower;sellmeier_B2:lower;sellmeier_B3:lower;sellmeier_C1_um2:lower;sellmeier_C2_um2:lower;sellmeier_C3_um2:upper
15.0,1,2,13,7.622957415197243,14.000000000000002,2.56046456548378,0.0007065215156155,0.0005612436406658,0.9526452869039296,True,19,7,log10_carrier_cm3:lower;sellmeier_A:lower;sellmeier_B1:lower;sellmeier_B3:lower;sellmeier_C1_um2:lower;sellmeier_C2_um2:upper;sellmeier_C3_um2:upper
15.0,2,1,15,6.921774339508455,18.264444060356027,2.559568422830553,0.0007859379737645,0.0006649547986015,0.9414011663850088,True,38,6,sellmeier_A:upper;sellmeier_B1:upper;sellmeier_B3:upper;sellmeier_C1_um2:upper;sellmeier_C2_um2:lower;sellmeier_C3_um2:lower
15.0,3,4,8,7.270890126230355,14.000000000000002,2.5055808833405475,0.0017166733106802,0.0013008558076118,0.7204318218842968,True,22,7,log10_carrier_cm3:lower;sellmeier_A:upper;sellmeier_B1:upper;sellmeier_B3:lower;sellmeier_C1_um2:lower;sellmeier_C2_um2:lower;sellmeier_C3_um2:upper
15.0,4,3,10,8.335770906678725,14.000000000000002,2.5545597142547307,0.0017297615720802,0.0014952207218313,0.716152603374663,True,17,7,log10_carrier_cm3:lower;sellmeier_A:upper;sellmeier_B1:upper;sellmeier_B3:lower;sellmeier_C1_um2:lower;sellmeier_C2_um2:lower;sellmeier_C3_um2:upper
15.0,5,6,7,7.946856521931621,14.000000000000002,2.506649385245366,0.0018662447540886,0.0014327633936656,0.6695927062330759,True,54,6,log10_carrier_cm3:lower;sellmeier_A:upper;sellmeier_B1:upper;sellmeier_B3:lower;sellmeier_C2_um2:lower;sellmeier_C3_um2:upper
15.0,6,5,7,6.595343308314032,14.000000000000002,2.508988118175484,0.0020970471567438,0.0016562499789984,0.5828148709328529,True,23,6,log10_carrier_cm3:lower;sellmeier_A:upper;sellmeier_B1:upper;sellmeier_B3:lower;sellmeier_C1_um2:upper;sellmeier_C2_um2:lower
15.0,7,7,9,7.272142282060386,20.01237993803793,2.82587025868188,0.08659080340973,0.0695850728568257,-710.3051682251536,True,77,7,sellmeier_A:lower;sellmeier_B1:lower;sellmeier_B2:lower;sellmeier_B3:lower;sellmeier_C1_um2:lower;sellmeier_C2_um2:lower;sellmeier_C3_um2:upper
15.0,8,8,21,8.222248479370588,20.021801882066597,2.764786591311997,0.0891412591854563,0.0691386811042077,-752.8239908144101,True,72,7,sellmeier_A:lower;sellmeier_B1:lower;sellmeier_B2:lower;sellmeier_B3:lower;sellmeier_C1_um2:lower;sellmeier_C2_um2:lower;sellmeier_C3_um2:upper
