wavenumber_cm1,reflectance_observed,reflectance_fitted,residual_signed,residual_abs,angle_deg
2500.257,0.1793117304,0.1793696061757347,-5.787577573476699e-05,5.787577573476699e-05,15.0
2500.739,0.179306109,0.179393759399783,-8.765039978306244e-05,8.765039978306244e-05,15.0
2501.221,0.1793735849,0.1794188268191371,-4.524191913707343e-05,4.524191913707343e-05,15.0
2501.703,0.1794256284,0.1794448040811202,-1.9175681120253696e-05,1.9175681120253696e-05,15.0
2502.186,0.1793893048,0.1794717434126977,-8.243861269771613e-05,8.243861269771613e-05,15.0
2502.668,0.1794720652,0.1794995286411637,-2.7463441163722013e-05,2.7463441163722013e-05,15.0
2503.15,0.1794859814,0.1795282098594641,-4.222845946408316e-05,4.222845946408316e-05,15.0
2503.632,0.1794829503,0.1795577821943618,-7.483189436185977e-05,7.483189436185977e-05,15.0
2504.114,0.1795356744,0.1795882406447672,-5.256624476723815e-05,5.256624476723815e-05,15.0
2504.596,0.1796298609999999,0.1796195800826615,1.0280917338456597e-05,1.0280917338456597e-05,15.0
2505.078,0.1796715025,0.1796517952540396,1.9707245960398637e-05,1.9707245960398637e-05,15.0
2505.56,0.1797085,0.179684880779868,2.3619220131942956e-05,2.3619220131942956e-05,15.0
2506.042,0.1796663717,0.1797188311570626,-5.245945706267019e-05,5.245945706267019e-05,15.0
2506.525,0.1798046907,0.1797537138677696,5.097683223043159e-05,5.097683223043159e-05,15.0
2507.007,0.1797449992,0.1797893787118671,-4.437951186717082e-05,4.437951186717082e-05,15.0
2507.489,0.1798892632,0.1798258911514964,6.337204850356826e-05,6.337204850356826e-05,15.0
2507.971,0.1800197928,0.179863245197232,0.0001565476027679,0.0001565476027679,15.0
2508.453,0.1800817346,0.17990143474074,0.0001802998592599,0.0001802998592599,15.0
2508.935,0.180151709,0.1799404535558545,0.0002112554441454,0.0002112554441454,15.0
2509.417,0.1804380973,0.1799802952996734,0.0004578020003265,0.0004578020003265,15.0
2509.899,0.1804800529,0.1800209535136673,0.0004590993863326,0.0004590993863326,15.0
2510.382,0.1805310263,0.1800625084954979,0.0004685178045021,0.0004685178045021,15.0
2510.864,0.1805933629,0.1801047814767753,0.0004885814232246,0.0004885814232246,15.0
2511.346,0.1807229978,0.180147850855996,0.000575146944004,0.000575146944004,15.0
2511.828,0.1807051177,0.1801917097233087,0.0005134079766912,0.0005134079766912,15.0
2512.31,0.1808763796,0.1802363510590233,0.0006400285409766,0.0006400285409766,15.0
2512.792,0.180889355,0.1802817677348122,0.0006075872651877,0.0006075872651877,15.0
2513.274,0.1807858537,0.1803279525149269,0.0004579011850731,0.0004579011850731,15.0
2513.756,0.1808645555,0.1803748980574298,0.0004896574425702,0.0004896574425702,15.0
2514.239,0.1810960816,0.1804226966535752,0.0006733849464247,0.0006733849464247,15.0
2514.721,0.1810072683,0.1804711428158389,0.000536125484161,0.000536125484161,15.0
2515.203,0.1811495363,0.1805203270740886,0.0006292092259113,0.0006292092259113,15.0
2515.685,0.1810252614999999,0.1805702416740184,0.0004550198259815,0.0004550198259815,15.0
2516.167,0.1812495277,0.1806208787615036,0.0006286489384963,0.0006286489384963,15.0
2516.649,0.1814214109,0.1806722303839143,0.0007491805160856,0.0007491805160856,15.0
2517.131,0.1811926068,0.1807242884914414,0.0004683183085585,0.0004683183085585,15.0
2517.613,0.1810677072,0.1807770449384368,0.0002906622615631,0.0002906622615631,15.0
2518.095,0.1812759528,0.1808304914847665,0.0004454613152335,0.0004454613152335,15.0
