wavenumber_cm1,reflectance_observed,angle_deg,in_fit_band
399.6747,0.0,15.0,0
400.1569,0.36336680880000005,15.0,0
400.639,0.3575208839,15.0,0
401.1211,0.3517191157,15.0,0
401.6032,0.3466914948,15.0,0
402.0853,0.3416395455,15.0,0
402.5674,0.3366441452,15.0,0
403.0496,0.3318689656,15.0,0
403.5317,0.3275816133,15.0,0
404.0138,0.32345778420000004,15.0,0
404.4959,0.3196162086,15.0,0
404.978,0.3163395866,15.0,0
405.4601,0.3137190437,15.0,0
405.9423,0.311776061,15.0,0
406.4244,0.3102114298,15.0,0
406.9065,0.30921060019999996,15.0,0
407.3886,0.3086320223,15.0,0
407.8707,0.3084838766,15.0,0
408.3528,0.3083783751,15.0,0
408.835,0.3080409423,15.0,0
409.3171,0.3079647366,15.0,0
409.7992,0.3075698439,15.0,0
410.2813,0.30658508760000003,15.0,0
410.7634,0.3055157477,15.0,0
411.2455,0.3040872343,15.0,0
411.7277,0.3020916427,15.0,0
412.2098,0.2996094156,15.0,0
412.6919,0.2969520588,15.0,0
413.174,0.2939879051,15.0,0
413.6561,0.291043963,15.0,0
414.1382,0.2876449829,15.0,0
414.6204,0.2847432944,15.0,0
415.1025,0.28189565569999997,15.0,0
415.5846,0.2790935117,15.0,0
416.0667,0.2762343464,15.0,0
416.5488,0.2736989328,15.0,0
417.0309,0.271711068,15.0,0
417.5131,0.2697443802,15.0,0
417.9952,0.2681378475,15.0,0
418.4773,0.2673267545,15.0,0
418.9594,0.2663914367,15.0,0
419.4415,0.26571571169999997,15.0,0
419.9236,0.2656908592,15.0,0
420.4058,0.2650835298,15.0,0
420.8879,0.26449248189999996,15.0,0
421.37,0.264191652,15.0,0
421.8521,0.263463497,15.0,0
422.3342,0.26294147809999996,15.0,0
422.8163,0.2618536545,15.0,0
423.2985,0.2612692561,15.0,0
423.7806,0.2602288613,15.0,0
424.2627,0.2591262838,15.0,0
424.7448,0.2581035316,15.0,0
425.2269,0.256943751,15.0,0
425.709,0.2555993104,15.0,0
426.1912,0.2544024691,15.0,0
426.6733,0.2532937529,15.0,0
427.1554,0.2521660414,15.0,0
427.6375,0.251313566,15.0,0
428.1196,0.2502421612,15.0,0
428.6017,0.2495936679,15.0,0
429.0839,0.24891512030000001,15.0,0
429.566,0.2483175571,15.0,0
430.0481,0.2479512009,15.0,0
430.5302,0.2472769102,15.0,0
431.0123,0.2464319181,15.0,0
431.4944,0.245509922,15.0,0
431.9766,0.2443562816,15.0,0
432.4587,0.2430962328,15.0,0
432.9408,0.2417020436,15.0,0
433.4229,0.240109265,15.0,0
433.905,0.2386114872,15.0,0
434.3871,0.23702205119999997,15.0,0
434.8693,0.23598987480000003,15.0,0
435.3514,0.23493583340000002,15.0,0
435.8335,0.2340831544,15.0,0
436.3156,0.2335668326,15.0,0
436.7977,0.23394233969999997,15.0,0
437.2798,0.2339516755,15.0,0
437.762,0.23438769069999998,15.0,0
438.2441,0.23483162700000001,15.0,0
438.7262,0.23537306759999999,15.0,0
439.2083,0.23586370680000002,15.0,0
439.6904,0.23643438849999998,15.0,0
440.1725,0.23689161339999998,15.0,0
440.6547,0.23740195660000002,15.0,0
441.1368,0.2380086453,15.0,0
441.6189,0.2384979255,15.0,0
442.101,0.2389135934,15.0,0
442.5831,0.2398459502,15.0,0
443.0652,0.2406466084,15.0,0
443.5474,0.24124787779999998,15.0,0
444.0295,0.242488694,15.0,0
444.5116,0.24332605359999998,15.0,0
444.9937,0.2437126273,15.0,0
445.4758,0.2442586755,15.0,0
445.9579,0.2449752301,15.0,0
446.4401,0.2452419781,15.0,0
446.9222,0.2456594417,15.0,0
447.4043,0.24604013760000001,15.0,0
447.8864,0.24612957179999997,15.0,0
448.3685,0.246493285,15.0,0
448.8506,0.2465745648,15.0,0
449.3328,0.2470139262,15.0,0
449.8149,0.2471832077,15.0,0
450.297,0.2473327665,15.0,0
450.7791,0.2476934496,15.0,0
451.2612,0.247874821,15.0,0
451.7433,0.2482450187,15.0,0
452.2255,0.2486610216,15.0,0
452.7076,0.249392561,15.0,0
453.1897,0.25013462799999997,15.0,0
453.6718,0.2506746162,15.0,0
454.1539,0.25141854550000003,15.0,0
454.636,0.2521040597,15.0,0
455.1182,0.2530625565,15.0,0
455.6003,0.2538778905,15.0,0
456.0824,0.2544812726,15.0,0
456.5645,0.2554524377,15.0,0
457.0466,0.256236746,15.0,0
457.5287,0.2571741769,15.0,0
458.0109,0.2581518477,15.0,0
458.493,0.25900946820000004,15.0,0
458.9751,0.2600121746,15.0,0
459.4572,0.2610502443,15.0,0
459.9393,0.2622832547,15.0,0
460.4214,0.2634434547,15.0,0
460.9036,0.2646181102,15.0,0
461.3857,0.26561643279999997,15.0,0
461.8678,0.266582282,15.0,0
462.3499,0.2677020335,15.0,0
462.832,0.2683810333,15.0,0
463.3141,0.26933692130000003,15.0,0
463.7963,0.269950334,15.0,0
464.2784,0.27062398730000004,15.0,0
464.7605,0.2711146391,15.0,0
465.2426,0.2715799581,15.0,0
465.7247,0.2721610773,15.0,0
466.2068,0.27246732479999997,15.0,0
466.689,0.272923984,15.0,0
467.1711,0.2732496561,15.0,0
467.6532,0.2736110011,15.0,0
468.1353,0.2739461019,15.0,0
468.6174,0.2743276508,15.0,0
469.0995,0.2748645385,15.0,0
469.5817,0.2755240715,15.0,0
470.0638,0.2763179808,15.0,0
470.5459,0.277454258,15.0,0
471.028,0.279022168,15.0,0
471.5101,0.28106445680000003,15.0,0
